frame,timestamp,mean_magnitude_px_frame,mean_signal
643,2025-12-04 17:50:36.692577,0.93115634,94.94142449109127
644,2025-12-04 17:50:36.708418,1.0852628,94.15060978374213
645,2025-12-04 17:50:36.760803,0.97679377,93.845083193544
646,2025-12-04 17:50:37.004218,1.0191365,93.86747971165616
647,2025-12-04 17:50:37.018035,1.4947335,93.67738133018996
648,2025-12-04 17:50:37.056200,0.94706,93.93439724350546
649,2025-12-04 17:50:37.083412,1.0923327,93.94441673845039
650,2025-12-04 17:50:37.385551,1.0376993,93.75250487373623
651,2025-12-04 17:50:37.398017,0.937549,93.98431336990525
652,2025-12-04 17:50:37.437776,0.88958585,93.95847123362198
653,2025-12-04 17:50:37.467000,0.95419234,93.73913043478261
654,2025-12-04 17:50:37.755250,1.1455247,93.73826903023983
655,2025-12-04 17:50:37.766787,0.9359351,93.77394931314322
656,2025-12-04 17:50:37.805620,0.92409086,93.74008251348778
657,2025-12-04 17:50:37.835799,0.91419923,93.96014870562634
658,2025-12-04 17:50:38.129855,0.95944047,94.03500022668541
659,2025-12-04 17:50:38.143618,0.8485142,93.91689713016277
660,2025-12-04 17:50:38.179580,0.9323109,93.82490819241058
661,2025-12-04 17:50:38.211709,1.078777,93.72398784966224
662,2025-12-04 17:50:38.510877,0.9955075,93.65820374484291
663,2025-12-04 17:50:38.522723,1.0647722,93.76850886339938
664,2025-12-04 17:50:38.565816,0.88314456,93.93648274924061
665,2025-12-04 17:50:38.593587,0.8295611,93.81520605703405
666,2025-12-04 17:50:38.883555,0.9225358,93.8347010019495
667,2025-12-04 17:50:38.896773,0.92785066,94.03672303577096
668,2025-12-04 17:50:38.938185,0.9863093,93.96178084054948
669,2025-12-04 17:50:38.966131,0.92065114,93.9366640975654
670,2025-12-04 17:50:39.254659,0.8220851,93.91463027610283
671,2025-12-04 17:50:39.267562,0.9194131,93.98830303305073
672,2025-12-04 17:50:39.305536,0.9658346,93.89019358933672
673,2025-12-04 17:50:39.333813,0.88141936,93.85419594686493
674,2025-12-04 17:50:39.625390,1.0158929,93.78374212268214
675,2025-12-04 17:50:39.640004,0.961034,93.90714965770503
